Xnorm,Ynorm,XoutNorm,YoutNorm
0.444463894,0.648129967,0.475155798,0.337737129
0.445405147,0.645294644,0.483355105,0.341871204
0.446308795,0.642281565,0.491554412,0.346005278
0.447174836,0.639090731,0.49975372,0.350139353
0.448003271,0.635722142,0.507953027,0.354273427
0.4487941,0.632175798,0.516152334,0.358407502
0.449547323,0.628451698,0.524351641,0.362541577
0.45026294,0.624549844,0.532550948,0.366675651
0.450940951,0.620470234,0.540750255,0.370809726
0.451581356,0.61621287,0.533968682,0.366536402
0.452260633,0.612102525,0.52718711,0.362263079
0.452978784,0.608139199,0.520405538,0.357989755
0.453735807,0.604322893,0.513623965,0.353716432
0.454531703,0.600653607,0.506842393,0.349443108
0.455366471,0.597131341,0.500060821,0.345169785
0.456240113,0.593756094,0.493279248,0.340896461
0.457152627,0.590527867,0.486497676,0.336623138
0.458104014,0.58744666,0.479716103,0.332349814
0.459094274,0.584512472,0.472934531,0.328076491
0.460123406,0.581725304,0.466152959,0.323803167
0.461191411,0.579085155,0.459371386,0.319529844
0.462298289,0.576592026,0.452589814,0.31525652
0.46344404,0.574245917,0.460789121,0.319390595
0.464552185,0.571722053,0.468988428,0.323524669
0.465622723,0.569020434,0.477187735,0.327658744
0.466655656,0.566141059,0.485387042,0.331792818
0.467650982,0.563083929,0.493586349,0.335926893
0.468608703,0.559849045,0.501785656,0.340060968
0.469528817,0.556436405,0.509984963,0.344195042
0.470411325,0.55284601,0.51818427,0.348329117
0.471256227,0.549077859,0.526383577,0.352463191
0.472063523,0.545131954,0.519602005,0.348189868
0.472909692,0.541333068,0.512820433,0.343916544
0.473794734,0.537681202,0.50603886,0.339643221
0.474718648,0.534176356,0.499257288,0.335369897
0.475681436,0.530818529,0.492475716,0.331096574
0.476683095,0.527607722,0.485694143,0.32682325
0.477723628,0.524543934,0.478912571,0.322549927
0.478803034,0.521627167,0.472130998,0.318276603
0.479921312,0.518857419,0.465349426,0.31400328
0.481078463,0.51623469,0.458567854,0.309729956
0.482274486,0.513758981,0.451786281,0.305456633
0.483509383,0.511430292,0.459985588,0.309590707
0.484706673,0.508923848,0.468184895,0.313724782
0.485866358,0.506239649,0.476384202,0.317858856
0.486988436,0.503377694,0.484583509,0.321992931
0.488072908,0.500337984,0.492782817,0.326127006
0.489119774,0.49712052,0.500982124,0.33026108
0.490129034,0.4937253,0.509181431,0.334395155
0.491100688,0.490152325,0.517380738,0.338529229
0.492034736,0.486401594,0.525580045,0.342663304
0.492931178,0.482473109,0.533779352,0.346797379
0.493790014,0.478366868,0.541978659,0.350931453
0.494611244,0.474082873,0.550177966,0.355065528
0.495394867,0.469621122,0.558377273,0.359199602
0.496140885,0.464981616,0.551595701,0.354926279
0.496925775,0.46048913,0.544814128,0.350652955
0.497749539,0.456143663,0.538032556,0.346379632
0.498612174,0.451945216,0.546231863,0.350513706
0.499437204,0.447569014,0.55443117,0.354647781
0.500224628,0.443015057,0.562630477,0.358781856
0.500974446,0.438283344,0.570829784,0.36291593
0.501686657,0.433373877,0.579029091,0.367050005
0.502361263,0.428286654,0.587228398,0.371184079
0.502998262,0.423021676,0.595427705,0.375318154
0.503597656,0.417578943,0.603627012,0.379452229
0.504159443,0.411958455,0.611826319,0.383586303
0.504683624,0.406160212,0.620025627,0.387720378
0.5051702,0.400184214,0.628224934,0.391854452
0.505619169,0.39403046,0.636424241,0.395988527
0.506030532,0.387698952,0.644623548,0.400122602
0.506404289,0.381189688,0.652822855,0.404256676
0.50674044,0.374502669,0.661022162,0.408390751
0.507038985,0.367637895,0.669221469,0.412524825
0.507299924,0.360595365,0.677420776,0.4166589
0.507523256,0.353375081,0.685620083,0.420792974
0.507708983,0.345977041,0.69381939,0.424927049
0.507857104,0.338401247,0.702018697,0.429061124
0.507967618,0.330647697,0.710218004,0.433195198
0.508040527,0.322716392,0.718417311,0.437329273
0.508075829,0.314607332,0.726616618,0.441463347
0.508073525,0.306320517,0.734815925,0.437329273
0.508108828,0.297855946,0.743015232,0.441463347
0.508106524,0.289213621,0.75121454,0.437329273
0.508141827,0.28039354,0.759413847,0.441463347
0.508139523,0.271395704,0.767613154,0.437329273
0.508174825,0.262220113,0.775812461,0.441463347
0.508172522,0.252866767,0.784011768,0.437329273
0.508207824,0.243335666,0.792211075,0.441463347
0.50820552,0.23362681,0.800410382,0.437329273
0.508240823,0.223740198,0.808609689,0.441463347
0.508238519,0.213675831,0.816808996,0.437329273
0.508273822,0.20343371,0.825008303,0.441463347
0.508271518,0.193013833,0.83320761,0.437329273
0.50830682,0.182416201,0.841406917,0.441463347
0.508304517,0.171640813,0.849606224,0.437329273
0.508339819,0.160687671,0.857805531,0.441463347
0.508337515,0.149556773,0.866004838,0.437329273
0.508372818,0.138248121,0.874204146,0.441463347
0.508370514,0.126761713,0.882403453,0.437329273
0.508405817,0.11509755,0.89060276,0.441463347
0.508403513,0.103255632,0.898802067,0.437329273
0.508438815,0.091235959,0.907001374,0.441463347
0.508436512,0.07903853,0.915200681,0.437329273
0.508471814,0.066663347,0.923399988,0.441463347
0.50846951,0.054110408,0.931599295,0.437329273
0.508504813,0.041379714,0.939798602,0.441463347
0.508502509,0.028471265,0.947997909,0.437329273
0.508537812,0.015385061,0.956197216,0.441463347
0.508535508,0.002121102,0.964396523,0.437329273
0.599316609,0.429665695,0.344370897,0.441210104
0.599279003,0.42984345,0.327972283,0.441210104
0.599279003,0.430198961,0.319772975,0.445344178
0.599241397,0.430732226,0.311573668,0.441210104
0.599241397,0.431443247,0.303374361,0.445344178
0.599203791,0.432332022,0.295175054,0.441210104
0.599203791,0.433398553,0.286975747,0.445344178
0.599166185,0.434642839,0.27877644,0.441210104
0.599166185,0.43606488,0.270577133,0.445344178
0.599128579,0.437664677,0.262377826,0.441210104
0.599128579,0.439442228,0.254178519,0.445344178
0.599090973,0.441397535,0.262377826,0.441210104
0.599090973,0.443175086,0.270577133,0.445344178
0.599053367,0.444774882,0.27877644,0.441210104
0.599053367,0.446196923,0.286975747,0.445344178
0.599015761,0.447441209,0.295175054,0.441210104
0.599015761,0.44850774,0.303374361,0.445344178
0.598978155,0.449396516,0.311573668,0.441210104
0.598978155,0.450107536,0.319772975,0.445344178
0.598940549,0.450640802,0.327972283,0.441210104
0.598940549,0.450996312,0.33617159,0.445344178
0.598902943,0.451174067,0.327972283,0.441210104
0.598902943,0.451529578,0.319772975,0.445344178
0.598865336,0.452062843,0.311573668,0.441210104
0.598865336,0.452773864,0.303374361,0.445344178
0.59882773,0.453662639,0.295175054,0.441210104
0.59882773,0.45472917,0.286975747,0.445344178
0.598790124,0.455973456,0.27877644,0.441210104
0.598790124,0.457395497,0.270577133,0.445344178
0.598752518,0.458995294,0.262377826,0.441210104
0.598752518,0.460772845,0.254178519,0.445344178
0.598714912,0.462728152,0.262377826,0.441210104
0.598714912,0.464505703,0.270577133,0.445344178
0.598677306,0.466105499,0.27877644,0.441210104
0.598677306,0.46752754,0.286975747,0.445344178
0.5986397,0.468771826,0.295175054,0.441210104
0.5986397,0.469838357,0.303374361,0.445344178
0.598602094,0.470727133,0.311573668,0.441210104
0.598602094,0.471438154,0.319772975,0.445344178
0.598564488,0.471971419,0.327972283,0.441210104
0.598564488,0.472326929,0.33617159,0.445344178
0.598526882,0.472504684,0.327972283,0.441210104
0.598526882,0.472860195,0.319772975,0.445344178
0.598489276,0.47339346,0.311573668,0.441210104
0.598489276,0.474104481,0.303374361,0.445344178
0.59845167,0.474993256,0.295175054,0.441210104
0.59845167,0.476059787,0.286975747,0.445344178
0.598414064,0.477304073,0.27877644,0.441210104
0.598414064,0.478726114,0.270577133,0.445344178
0.598376458,0.480325911,0.262377826,0.441210104
0.598376458,0.482103462,0.254178519,0.445344178
0.598338852,0.484058769,0.262377826,0.441210104
0.598338852,0.48583632,0.270577133,0.445344178
0.598301245,0.487436116,0.27877644,0.441210104
0.598301245,0.488858158,0.286975747,0.445344178
0.598263639,0.490102444,0.295175054,0.441210104
0.598263639,0.491168974,0.303374361,0.445344178
0.598226033,0.49205775,0.311573668,0.441210104
0.598226033,0.492768771,0.319772975,0.445344178
0.598188427,0.493302036,0.327972283,0.441210104
0.598188427,0.493657546,0.319772975,0.445344178
0.598150821,0.494190812,0.311573668,0.441210104
0.598150821,0.494901832,0.303374361,0.445344178
0.598113215,0.495790608,0.295175054,0.441210104
0.598113215,0.496857139,0.286975747,0.445344178
0.598075609,0.498101425,0.27877644,0.441210104
0.598075609,0.499523466,0.270577133,0.445344178
0.598038003,0.501123262,0.262377826,0.441210104
0.598038003,0.502900814,0.254178519,0.445344178
0.598000397,0.50485612,0.262377826,0.441210104
0.598000397,0.506633672,0.270577133,0.445344178
0.597962791,0.508233468,0.27877644,0.441210104
0.597962791,0.509655509,0.286975747,0.445344178
0.597925185,0.510899795,0.295175054,0.441210104
0.597925185,0.511966326,0.303374361,0.445344178
0.597887579,0.512855102,0.311573668,0.441210104
0.597887579,0.513566122,0.319772975,0.445344178
0.597849973,0.514099388,0.327972283,0.441210104
0.597849973,0.514454898,0.319772975,0.445344178
0.597812367,0.514988164,0.311573668,0.441210104
0.597812367,0.515699184,0.303374361,0.445344178
0.597774761,0.51658796,0.295175054,0.441210104
0.597774761,0.517654491,0.286975747,0.445344178
0.597737154,0.518898777,0.27877644,0.441210104
0.597737154,0.520320818,0.270577133,0.445344178
0.597699548,0.521920614,0.262377826,0.441210104
0.597699548,0.523698165,0.254178519,0.445344178
0.597661942,0.525653472,0.245979212,0.441210104
0.597661942,0.527786534,0.237779905,0.445344178
0.597624336,0.530097351,0.245979212,0.441210104
0.597624336,0.532230412,0.254178519,0.445344178
0.59758673,0.534185719,0.262377826,0.441210104
0.59758673,0.53596327,0.270577133,0.445344178
0.597549124,0.537563067,0.27877644,0.441210104
0.597549124,0.538985108,0.286975747,0.445344178
0.597511518,0.540229394,0.295175054,0.441210104
0.597511518,0.541295925,0.286975747,0.445344178
0.597473912,0.542540211,0.27877644,0.441210104
0.597473912,0.543962252,0.270577133,0.445344178
0.597436306,0.545562048,0.262377826,0.441210104
0.597436306,0.547339599,0.254178519,0.445344178
0.5973987,0.549294906,0.245979212,0.441210104
0.5973987,0.551427968,0.237779905,0.445344178
